"","Normalized"
"1",-6.58840847
"2",-16.46728134
"3",-15.95502186
"4",5.414735794
"5",8.88805294
"6",-5.391042709
"7",-6.836986065
"8",5.71037674
"9",3.743834496
"10",-9.1768713
"11",-4.055568695
"12",-0.536809802
"13",2.201270819
"14",-0.348564744
"15",-2.408976316
"16",0.480093509
"17",-3.184952736
"18",-4.187904358
"19",-3.188649654
"20",5.017655373
"21",2.304874182
"22",-2.615889788
"23",0.348564744
"24",13.44899273
"25",8.633666039
"26",11.66662407
"27",15.29061508
"28",-8.267437935
"29",-0.895959377
"30",7.589716911
"31",20.94250679
"32",13.80198765
"33",1.567397952
"34",10.31004429
"35",-5.721886158
"36",-5.149560452
"37",3.190283537
"38",-1.567407012
"39",-13.58509445
"40",-5.089811325
"41",-7.585888386
"42",-10.9916296
"43",-11.36534405
"44",7.409566879
"45",2.245083094
"46",-11.19630909
"47",-14.82605839
"48",2.193739653
"49",-5.167273521
"50",-11.61790848
"51",-8.909470558
"52",-4.230361462
"53",-8.12749958
"54",-14.14275837
"55",8.581285477
"56",11.25453186
"57",6.541395664
"58",13.08070564
"59",14.82223129
"60",12.6655159
"61",18.11294365
"62",23.5439415
"63",13.672966
"64",6.622423649
